Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.4714,0.4411,0.7524,Co-author (2)
gpt1,NA,positive,0.4682,0.4688,0.6922,Co-author (2)
gpt3,NA,positive,0.1418,0.0795,0.9763,Co-author (2)
gpt4,NA,positive,0.2965,0.1945,0.9322,Co-author (2)
gpt42,NA,positive,0.3124,0.1973,0.9621,Co-author (2)
gpt41,NA,positive,0.3651,0.2521,0.9259,Co-author (2)
gpt45,NA,positive,0.3594,0.2329,0.9637,Co-author (2)
gpt5,NA,positive,0.2718,0.1753,0.9338,Co-author (2)
gpt6,NA,positive,0.2652,0.1671,0.9464,Co-author (2)
gpt7,NA,positive,0.2996,0.1945,0.9401,Co-author (2)
gpt8,NA,positive,0.2941,0.2055,0.8896,Co-author (2)
mturk,NA,positive,0.4372,0.3828,0.8592,Co-author (2)
gpt43,NA,positive,0.1655,0.0932,0.9811,Co-author (2)
gpt44,NA,positive,0.3084,0.1918,0.97,Co-author (2)
gpt46,NA,positive,0.3341,0.211,0.97,Co-author (2)
gpt47,NA,positive,0.3226,0.2055,0.9606,Co-author (2)
gpt48,NA,positive,0.3872,0.2658,0.9385,Co-author (2)
mistral2,NA,positive,0.3036,0.2055,0.9144,Co-author (2)
mistral1,NA,positive,0.3654,0.252,0.9262,Co-author (2)
mistral3,NA,positive,0.3206,0.2192,0.9144,Co-author (2)
mistral4,NA,positive,0.3698,0.2685,0.8938,Co-author (2)
mistral5,NA,positive,0.3667,0.2658,0.8938,Co-author (2)
mistral6,NA,positive,0.334,0.2356,0.8986,Co-author (2)
mistral7,NA,positive,0.4596,0.3973,0.8082,Co-author (2)
mistral8,NA,positive,0.3843,0.2822,0.8922,Co-author (2)
mixtral2,NA,positive,0.4073,0.3068,0.8843,Co-author (2)
mixtral1,NA,positive,0.3686,0.2547,0.9262,Co-author (2)
mixtral3,NA,positive,0.1638,0.0904,0.9921,Co-author (2)
mixtral4,NA,positive,0.2394,0.1397,0.9842,Co-author (2)
mixtral5,NA,positive,0.1943,0.1123,0.9746,Co-author (2)
mixtral6,NA,positive,0.1313,0.0712,0.9921,Co-author (2)
mixtral7,NA,positive,0.2579,0.1562,0.9683,Co-author (2)
mixtral8,NA,positive,0.3402,0.2274,0.9366,Co-author (2)
vader,NA,positive,0.3119,0.2429,0.8793,Co-author (2)
