Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,neutral,0.4556,0.3865,0.7375,Co-author (2)
gpt1,NA,neutral,0.4279,0.3731,0.688,Co-author (2)
gpt3,NA,neutral,0.6468,0.9258,0.207,Co-author (2)
gpt4,NA,neutral,0.6474,0.8559,0.3327,Co-author (2)
gpt42,NA,neutral,0.6784,0.8843,0.3882,Co-author (2)
gpt41,NA,neutral,0.6655,0.8231,0.4492,Co-author (2)
gpt45,NA,neutral,0.6764,0.9083,0.342,Co-author (2)
gpt5,NA,neutral,0.6547,0.8734,0.3272,Co-author (2)
gpt6,NA,neutral,0.6542,0.8755,0.3216,Co-author (2)
gpt7,NA,neutral,0.5901,0.6004,0.6322,Co-author (2)
gpt8,NA,neutral,0.6292,0.8319,0.3124,Co-author (2)
mturk,NA,neutral,0.7618,0.8916,0.3642,Co-author (2)
gpt43,NA,neutral,0.6661,0.9214,0.2847,Co-author (2)
gpt44,NA,neutral,0.6688,0.9148,0.305,Co-author (2)
gpt46,NA,neutral,0.6768,0.9258,0.3142,Co-author (2)
gpt47,NA,neutral,0.6751,0.9367,0.2902,Co-author (2)
gpt48,NA,neutral,0.6721,0.8996,0.342,Co-author (2)
mistral2,NA,neutral,0.6301,0.7692,0.4344,Co-author (2)
mistral1,NA,neutral,0.647,0.7664,0.4964,Co-author (2)
mistral3,NA,neutral,0.6166,0.7121,0.4972,Co-author (2)
mistral4,NA,neutral,0.5937,0.6264,0.5933,Co-author (2)
mistral5,NA,neutral,0.5821,0.6,0.6118,Co-author (2)
mistral6,NA,neutral,0.5814,0.6198,0.5693,Co-author (2)
mistral7,NA,neutral,0.5653,0.5758,0.6118,Co-author (2)
mistral8,NA,neutral,0.614,0.6747,0.5601,Co-author (2)
mixtral2,NA,neutral,0.5698,0.5473,0.6858,Co-author (2)
mixtral1,NA,neutral,0.6205,0.6659,0.5985,Co-author (2)
mixtral3,NA,neutral,0.6416,0.7692,0.4713,Co-author (2)
mixtral4,NA,neutral,0.6811,0.8659,0.4307,Co-author (2)
mixtral5,NA,neutral,0.6678,0.8923,0.3438,Co-author (2)
mixtral6,NA,neutral,0.6606,0.8835,0.3346,Co-author (2)
mixtral7,NA,neutral,0.665,0.8593,0.39,Co-author (2)
mixtral8,NA,neutral,0.6701,0.8505,0.4214,Co-author (2)
vader,NA,neutral,0.7364,0.8122,0.4476,Co-author (2)
