Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.2228,0.5233,0.701,Co-author (1)
gpt1,NA,positive,0.2222,0.573,0.6533,Co-author (1)
gpt3,NA,positive,0.3538,0.2674,0.977,Co-author (1)
gpt4,NA,positive,0.33,0.3837,0.9113,Co-author (1)
gpt42,NA,positive,0.4396,0.4651,0.9387,Co-author (1)
gpt41,NA,positive,0.3733,0.4884,0.8938,Co-author (1)
gpt45,NA,positive,0.4742,0.5349,0.9321,Co-author (1)
gpt5,NA,positive,0.3021,0.3372,0.9157,Co-author (1)
gpt6,NA,positive,0.3867,0.407,0.9343,Co-author (1)
gpt7,NA,positive,0.3282,0.3721,0.9157,Co-author (1)
gpt8,NA,positive,0.3117,0.4186,0.8806,Co-author (1)
mturk,NA,positive,0.3347,0.4878,0.8264,Co-author (1)
gpt43,NA,positive,0.4394,0.3372,0.9814,Co-author (1)
gpt44,NA,positive,0.4,0.407,0.9409,Co-author (1)
gpt46,NA,positive,0.4615,0.4884,0.9409,Co-author (1)
gpt47,NA,positive,0.4409,0.4767,0.9354,Co-author (1)
gpt48,NA,positive,0.4505,0.5814,0.9058,Co-author (1)
mistral2,NA,positive,0.3814,0.4767,0.9033,Co-author (1)
mistral1,NA,positive,0.3668,0.4719,0.8931,Co-author (1)
mistral3,NA,positive,0.3364,0.4302,0.8934,Co-author (1)
mistral4,NA,positive,0.3108,0.4535,0.8615,Co-author (1)
mistral5,NA,positive,0.288,0.4186,0.8593,Co-author (1)
mistral6,NA,positive,0.3051,0.4186,0.8747,Co-author (1)
mistral7,NA,positive,0.2557,0.5233,0.7571,Co-author (1)
mistral8,NA,positive,0.3268,0.4884,0.8582,Co-author (1)
mixtral2,NA,positive,0.2952,0.4651,0.8407,Co-author (1)
mixtral1,NA,positive,0.3391,0.4382,0.8888,Co-author (1)
mixtral3,NA,positive,0.4032,0.2907,0.9857,Co-author (1)
mixtral4,NA,positive,0.4354,0.3721,0.9681,Co-author (1)
mixtral5,NA,positive,0.4196,0.3488,0.9703,Co-author (1)
mixtral6,NA,positive,0.3761,0.2558,0.9901,Co-author (1)
mixtral7,NA,positive,0.4417,0.4186,0.9549,Co-author (1)
mixtral8,NA,positive,0.4115,0.5,0.9121,Co-author (1)
vader,NA,positive,0.2714,0.3293,0.8667,Co-author (1)
