Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,neutral,0.4129,0.3874,0.7197,General public
gpt1,NA,neutral,0.4542,0.4399,0.717,General public
gpt3,NA,neutral,0.5571,0.9313,0.1906,General public
gpt4,NA,neutral,0.5676,0.8709,0.3134,General public
gpt42,NA,neutral,0.5982,0.9038,0.3591,General public
gpt41,NA,neutral,0.5679,0.8104,0.4016,General public
gpt45,NA,neutral,0.5792,0.9038,0.3024,General public
gpt5,NA,neutral,0.5567,0.8626,0.2913,General public
gpt6,NA,neutral,0.553,0.8599,0.2835,General public
gpt7,NA,neutral,0.4821,0.5549,0.5717,General public
gpt8,NA,neutral,0.5515,0.8462,0.2992,General public
mturk,NA,neutral,0.6328,0.8519,0.2716,General public
gpt43,NA,neutral,0.578,0.9313,0.2598,General public
gpt44,NA,neutral,0.5764,0.9176,0.274,General public
gpt46,NA,neutral,0.5746,0.9148,0.2724,General public
gpt47,NA,neutral,0.5828,0.9423,0.2598,General public
gpt48,NA,neutral,0.5883,0.9148,0.315,General public
mistral2,NA,neutral,0.5672,0.7961,0.4202,General public
mistral1,NA,neutral,0.5706,0.7753,0.4633,General public
mistral3,NA,neutral,0.5235,0.6915,0.455,General public
mistral4,NA,neutral,0.4931,0.5895,0.5403,General public
mistral5,NA,neutral,0.4775,0.5565,0.5561,General public
mistral6,NA,neutral,0.4829,0.584,0.5213,General public
mistral7,NA,neutral,0.503,0.5785,0.5861,General public
mistral8,NA,neutral,0.5088,0.6364,0.5039,General public
mixtral2,NA,neutral,0.4604,0.4959,0.6224,General public
mixtral1,NA,neutral,0.5213,0.6356,0.5429,General public
mixtral3,NA,neutral,0.5125,0.7052,0.3997,General public
mixtral4,NA,neutral,0.5671,0.832,0.3681,General public
mixtral5,NA,neutral,0.5676,0.8788,0.3017,General public
mixtral6,NA,neutral,0.5529,0.8567,0.2875,General public
mixtral7,NA,neutral,0.5701,0.8512,0.3491,General public
mixtral8,NA,neutral,0.5833,0.854,0.3839,General public
vader,NA,neutral,0.6041,0.7607,0.3448,General public
