Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.549,0.4498,0.8124,General public
gpt2,NA,neutral,0.4129,0.3874,0.7197,General public
gpt2,NA,negative,0.4088,0.7445,0.6984,General public
gpt1,NA,positive,0.5904,0.5119,0.7782,General public
gpt1,NA,neutral,0.4542,0.4399,0.717,General public
gpt1,NA,negative,0.4184,0.6547,0.7644,General public
gpt3,NA,positive,0.1365,0.0743,0.986,General public
gpt3,NA,neutral,0.5571,0.9313,0.1906,General public
gpt3,NA,negative,0.3264,0.2847,0.9269,General public
gpt4,NA,positive,0.2908,0.1787,0.9501,General public
gpt4,NA,neutral,0.5676,0.8709,0.3134,General public
gpt4,NA,negative,0.4015,0.3942,0.9095,General public
gpt42,NA,positive,0.2963,0.1767,0.984,General public
gpt42,NA,neutral,0.5982,0.9038,0.3591,General public
gpt42,NA,negative,0.4474,0.4964,0.8852,General public
gpt41,NA,positive,0.3516,0.2249,0.9461,General public
gpt41,NA,neutral,0.5679,0.8104,0.4016,General public
gpt41,NA,negative,0.4161,0.4891,0.8631,General public
gpt45,NA,positive,0.3003,0.1827,0.9661,General public
gpt45,NA,neutral,0.5792,0.9038,0.3024,General public
gpt45,NA,negative,0.4453,0.4161,0.9281,General public
gpt5,NA,positive,0.255,0.1546,0.9421,General public
gpt5,NA,neutral,0.5567,0.8626,0.2913,General public
gpt5,NA,negative,0.3609,0.3504,0.906,General public
gpt6,NA,positive,0.2327,0.1386,0.9481,General public
gpt6,NA,neutral,0.553,0.8599,0.2835,General public
gpt6,NA,negative,0.3883,0.3869,0.9037,General public
gpt7,NA,positive,0.2801,0.1707,0.9521,General public
gpt7,NA,neutral,0.4821,0.5549,0.5717,General public
gpt7,NA,negative,0.4087,0.8248,0.6485,General public
gpt8,NA,positive,0.2986,0.1928,0.9022,General public
gpt8,NA,neutral,0.5515,0.8462,0.2992,General public
gpt8,NA,negative,0.3109,0.2701,0.9258,General public
mturk,NA,positive,0.3614,0.2667,0.838,General public
mturk,NA,neutral,0.6328,0.8519,0.2716,General public
mturk,NA,negative,0.05,0.0267,0.9956,General public
gpt43,NA,positive,0.1544,0.0843,0.992,General public
gpt43,NA,neutral,0.578,0.9313,0.2598,General public
gpt43,NA,negative,0.4057,0.4161,0.8991,General public
gpt44,NA,positive,0.2624,0.1546,0.976,General public
gpt44,NA,neutral,0.5764,0.9176,0.274,General public
gpt44,NA,negative,0.4206,0.3869,0.9281,General public
gpt46,NA,positive,0.2694,0.1606,0.9681,General public
gpt46,NA,neutral,0.5746,0.9148,0.2724,General public
gpt46,NA,negative,0.4163,0.3723,0.9339,General public
gpt47,NA,positive,0.2709,0.1627,0.9621,General public
gpt47,NA,neutral,0.5828,0.9423,0.2598,General public
gpt47,NA,negative,0.3857,0.3139,0.9501,General public
gpt48,NA,positive,0.3533,0.2249,0.9521,General public
gpt48,NA,neutral,0.5883,0.9148,0.315,General public
gpt48,NA,negative,0.4741,0.4015,0.9536,General public
mistral2,NA,positive,0.3328,0.2097,0.95,General public
mistral2,NA,neutral,0.5672,0.7961,0.4202,General public
mistral2,NA,negative,0.431,0.5474,0.8417,General public
mistral1,NA,positive,0.3676,0.2351,0.9563,General public
mistral1,NA,neutral,0.5706,0.7753,0.4633,General public
mistral1,NA,negative,0.4286,0.5827,0.8178,General public
mistral3,NA,positive,0.3333,0.2117,0.942,General public
mistral3,NA,neutral,0.5235,0.6915,0.455,General public
mistral3,NA,negative,0.4566,0.6715,0.7974,General public
mistral4,NA,positive,0.3933,0.2621,0.93,General public
mistral4,NA,neutral,0.4931,0.5895,0.5403,General public
mistral4,NA,negative,0.4449,0.7518,0.7404,General public
mistral5,NA,positive,0.3879,0.2581,0.928,General public
mistral5,NA,neutral,0.4775,0.5565,0.5561,General public
mistral5,NA,negative,0.428,0.7591,0.7148,General public
mistral6,NA,positive,0.356,0.2319,0.93,General public
mistral6,NA,neutral,0.4829,0.584,0.5213,General public
mistral6,NA,negative,0.4316,0.7372,0.7322,General public
mistral7,NA,positive,0.5013,0.3851,0.85,General public
mistral7,NA,neutral,0.503,0.5785,0.5861,General public
mistral7,NA,negative,0.4354,0.6277,0.7998,General public
mistral8,NA,positive,0.4018,0.2702,0.926,General public
mistral8,NA,neutral,0.5088,0.6364,0.5039,General public
mistral8,NA,negative,0.4652,0.708,0.787,General public
mixtral2,NA,positive,0.417,0.2863,0.914,General public
mixtral2,NA,neutral,0.4604,0.4959,0.6224,General public
mixtral2,NA,negative,0.4121,0.7956,0.6705,General public
mixtral1,NA,positive,0.3733,0.239,0.9583,General public
mixtral1,NA,neutral,0.5213,0.6356,0.5429,General public
mixtral1,NA,negative,0.4259,0.7338,0.7255,General public
mixtral3,NA,positive,0.1311,0.0706,0.994,General public
mixtral3,NA,neutral,0.5125,0.7052,0.3997,General public
mixtral3,NA,negative,0.4575,0.7664,0.7474,General public
mixtral4,NA,positive,0.2154,0.121,0.998,General public
mixtral4,NA,neutral,0.5671,0.832,0.3681,General public
mixtral4,NA,negative,0.4324,0.5839,0.8219,General public
mixtral5,NA,positive,0.1881,0.1048,0.99,General public
mixtral5,NA,neutral,0.5676,0.8788,0.3017,General public
mixtral5,NA,negative,0.4762,0.5474,0.8801,General public
mixtral6,NA,positive,0.1176,0.0625,1,General public
mixtral6,NA,neutral,0.5529,0.8567,0.2875,General public
mixtral6,NA,negative,0.4353,0.5401,0.8498,General public
mixtral7,NA,positive,0.2513,0.1452,0.99,General public
mixtral7,NA,neutral,0.5701,0.8512,0.3491,General public
mixtral7,NA,negative,0.4239,0.5182,0.8522,General public
mixtral8,NA,positive,0.3231,0.2016,0.954,General public
mixtral8,NA,neutral,0.5833,0.854,0.3839,General public
mixtral8,NA,negative,0.4774,0.5401,0.8847,General public
vader,NA,positive,0.2774,0.1879,0.8712,General public
vader,NA,neutral,0.6041,0.7607,0.3448,General public
vader,NA,negative,0.2186,0.2632,0.8722,General public
