Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.3235,0.4873,0.7134,Annotator
gpt2,NA,neutral,0.4955,0.3472,0.7892,Annotator
gpt2,NA,negative,0.1618,0.7174,0.6548,Annotator
gpt1,NA,positive,0.2755,0.4562,0.6502,Annotator
gpt1,NA,neutral,0.4913,0.3508,0.7019,Annotator
gpt1,NA,negative,0.1686,0.6042,0.7222,Annotator
gpt3,NA,positive,0.2871,0.1835,0.9822,Annotator
gpt3,NA,neutral,0.8653,0.8969,0.3137,Annotator
gpt3,NA,negative,0.1757,0.2826,0.9066,Annotator
gpt4,NA,positive,0.3235,0.2785,0.9168,Annotator
gpt4,NA,neutral,0.8191,0.7975,0.4167,Annotator
gpt4,NA,negative,0.1798,0.3478,0.8783,Annotator
gpt42,NA,positive,0.4488,0.3608,0.9536,Annotator
gpt42,NA,neutral,0.8491,0.8176,0.5784,Annotator
gpt42,NA,negative,0.3005,0.6957,0.8583,Annotator
gpt41,NA,positive,0.3771,0.3544,0.9013,Annotator
gpt41,NA,neutral,0.7986,0.7384,0.5686,Annotator
gpt41,NA,negative,0.2338,0.587,0.8342,Annotator
gpt45,NA,positive,0.4511,0.3797,0.9429,Annotator
gpt45,NA,neutral,0.8577,0.8453,0.5098,Annotator
gpt45,NA,negative,0.303,0.5435,0.9014,Annotator
gpt5,NA,positive,0.2803,0.2342,0.918,Annotator
gpt5,NA,neutral,0.8198,0.8038,0.3873,Annotator
gpt5,NA,negative,0.1371,0.2609,0.8772,Annotator
gpt6,NA,positive,0.3162,0.2532,0.9346,Annotator
gpt6,NA,neutral,0.8266,0.8126,0.402,Annotator
gpt6,NA,negative,0.1868,0.3696,0.8751,Annotator
gpt7,NA,positive,0.3071,0.2595,0.9191,Annotator
gpt7,NA,neutral,0.6572,0.5245,0.7206,Annotator
gpt7,NA,negative,0.1558,0.7826,0.6013,Annotator
gpt8,NA,positive,0.2904,0.2785,0.8799,Annotator
gpt8,NA,neutral,0.8088,0.7874,0.3775,Annotator
gpt8,NA,negative,0.1361,0.2174,0.9045,Annotator
mturk,NA,positive,0.4056,0.4496,0.8421,Annotator
mturk,NA,neutral,0.8492,0.8499,0.4479,Annotator
mturk,NA,negative,0.0513,0.0294,0.9945,Annotator
gpt43,NA,positive,0.3529,0.2278,0.9881,Annotator
gpt43,NA,neutral,0.8666,0.8742,0.4412,Annotator
gpt43,NA,negative,0.2842,0.587,0.8772,Annotator
gpt44,NA,positive,0.4372,0.3418,0.9584,Annotator
gpt44,NA,neutral,0.8654,0.8654,0.4755,Annotator
gpt44,NA,negative,0.2981,0.5217,0.9045,Annotator
gpt46,NA,positive,0.4173,0.3354,0.9489,Annotator
gpt46,NA,neutral,0.8591,0.8591,0.451,Annotator
gpt46,NA,negative,0.2857,0.4783,0.9098,Annotator
gpt47,NA,positive,0.4341,0.3544,0.9477,Annotator
gpt47,NA,neutral,0.8744,0.8843,0.4608,Annotator
gpt47,NA,negative,0.3333,0.4783,0.9328,Annotator
gpt48,NA,positive,0.4626,0.4304,0.9191,Annotator
gpt48,NA,neutral,0.865,0.8503,0.549,Annotator
gpt48,NA,negative,0.3546,0.5435,0.9265,Annotator
mistral2,NA,positive,0.2927,0.2658,0.8962,Annotator
mistral2,NA,neutral,0.7707,0.7045,0.5196,Annotator
mistral2,NA,negative,0.2257,0.6304,0.8084,Annotator
mistral1,NA,positive,0.3267,0.30620000000000003,0.8924,Annotator
mistral1,NA,neutral,0.7565,0.6754,0.5769,Annotator
mistral1,NA,negative,0.216,0.6458,0.7829,Annotator
mistral3,NA,positive,0.2877,0.2658,0.8902,Annotator
mistral3,NA,neutral,0.7248,0.6351,0.5441,Annotator
mistral3,NA,negative,0.2179,0.7391,0.7558,Annotator
mistral4,NA,positive,0.2724,0.2785,0.8556,Annotator
mistral4,NA,neutral,0.6554,0.5366,0.6078,Annotator
mistral4,NA,negative,0.2043,0.8261,0.6968,Annotator
mistral5,NA,positive,0.2795,0.2848,0.858,Annotator
mistral5,NA,neutral,0.6353,0.5114,0.6176,Annotator
mistral5,NA,negative,0.1823,0.7826,0.6705,Annotator
mistral6,NA,positive,0.2532,0.2468,0.8675,Annotator
mistral6,NA,neutral,0.6565,0.5417,0.5784,Annotator
mistral6,NA,negative,0.191,0.7826,0.6895,Annotator
mistral7,NA,positive,0.316,0.4241,0.7625,Annotator
mistral7,NA,neutral,0.6408,0.5114,0.6716,Annotator
mistral7,NA,negative,0.1908,0.6304,0.7589,Annotator
mistral8,NA,positive,0.3161,0.3291,0.858,Annotator
mistral8,NA,neutral,0.6926,0.5846,0.598,Annotator
mistral8,NA,negative,0.2147,0.7609,0.7421,Annotator
mixtral2,NA,positive,0.309,0.3354,0.8425,Annotator
mixtral2,NA,neutral,0.5979,0.4571,0.7206,Annotator
mixtral2,NA,negative,0.1644,0.7826,0.6253,Annotator
mixtral1,NA,positive,0.3056,0.2875,0.8877,Annotator
mixtral1,NA,neutral,0.6848,0.5677,0.6538,Annotator
mixtral1,NA,negative,0.1907,0.7708,0.6837,Annotator
mixtral3,NA,positive,0.2755,0.1709,0.9869,Annotator
mixtral3,NA,neutral,0.7591,0.6843,0.5392,Annotator
mixtral3,NA,negative,0.1957,0.7826,0.6989,Annotator
mixtral4,NA,positive,0.3744,0.2595,0.9761,Annotator
mixtral4,NA,neutral,0.8193,0.7727,0.5588,Annotator
mixtral4,NA,negative,0.2294,0.6957,0.7884,Annotator
mixtral5,NA,positive,0.3349,0.2278,0.9749,Annotator
mixtral5,NA,neutral,0.8358,0.8194,0.451,Annotator
mixtral5,NA,negative,0.2679,0.6522,0.8442,Annotator
mixtral6,NA,positive,0.254,0.1519,0.9916,Annotator
mixtral6,NA,neutral,0.825,0.8093,0.4069,Annotator
mixtral6,NA,negative,0.2169,0.587,0.8147,Annotator
mixtral7,NA,positive,0.3745,0.2785,0.9606,Annotator
mixtral7,NA,neutral,0.8196,0.7828,0.5049,Annotator
mixtral7,NA,negative,0.2049,0.5435,0.8179,Annotator
mixtral8,NA,positive,0.4057,0.3608,0.9212,Annotator
mixtral8,NA,neutral,0.819,0.7715,0.5637,Annotator
mixtral8,NA,negative,0.2283,0.5435,0.8442,Annotator
vader,NA,positive,0.3089,0.2946,0.8742,Annotator
vader,NA,neutral,0.8099,0.769,0.5305,Annotator
vader,NA,negative,0.1831,0.3714,0.8698,Annotator
