Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,neutral,0.4955,0.3472,0.7892,Annotator
gpt1,NA,neutral,0.4913,0.3508,0.7019,Annotator
gpt3,NA,neutral,0.8653,0.8969,0.3137,Annotator
gpt4,NA,neutral,0.8191,0.7975,0.4167,Annotator
gpt42,NA,neutral,0.8491,0.8176,0.5784,Annotator
gpt41,NA,neutral,0.7986,0.7384,0.5686,Annotator
gpt45,NA,neutral,0.8577,0.8453,0.5098,Annotator
gpt5,NA,neutral,0.8198,0.8038,0.3873,Annotator
gpt6,NA,neutral,0.8266,0.8126,0.402,Annotator
gpt7,NA,neutral,0.6572,0.5245,0.7206,Annotator
gpt8,NA,neutral,0.8088,0.7874,0.3775,Annotator
mturk,NA,neutral,0.8492,0.8499,0.4479,Annotator
gpt43,NA,neutral,0.8666,0.8742,0.4412,Annotator
gpt44,NA,neutral,0.8654,0.8654,0.4755,Annotator
gpt46,NA,neutral,0.8591,0.8591,0.451,Annotator
gpt47,NA,neutral,0.8744,0.8843,0.4608,Annotator
gpt48,NA,neutral,0.865,0.8503,0.549,Annotator
mistral2,NA,neutral,0.7707,0.7045,0.5196,Annotator
mistral1,NA,neutral,0.7565,0.6754,0.5769,Annotator
mistral3,NA,neutral,0.7248,0.6351,0.5441,Annotator
mistral4,NA,neutral,0.6554,0.5366,0.6078,Annotator
mistral5,NA,neutral,0.6353,0.5114,0.6176,Annotator
mistral6,NA,neutral,0.6565,0.5417,0.5784,Annotator
mistral7,NA,neutral,0.6408,0.5114,0.6716,Annotator
mistral8,NA,neutral,0.6926,0.5846,0.598,Annotator
mixtral2,NA,neutral,0.5979,0.4571,0.7206,Annotator
mixtral1,NA,neutral,0.6848,0.5677,0.6538,Annotator
mixtral3,NA,neutral,0.7591,0.6843,0.5392,Annotator
mixtral4,NA,neutral,0.8193,0.7727,0.5588,Annotator
mixtral5,NA,neutral,0.8358,0.8194,0.451,Annotator
mixtral6,NA,neutral,0.825,0.8093,0.4069,Annotator
mixtral7,NA,neutral,0.8196,0.7828,0.5049,Annotator
mixtral8,NA,neutral,0.819,0.7715,0.5637,Annotator
vader,NA,neutral,0.8099,0.769,0.5305,Annotator
